taxon_level,taxon_id,taxon_name,change_class,change_class_avilist,change_class_id,change_class_desc,change_class_avilist_id,change_class_avilist_desc
sp,185,Little Egret,,,,,,
ssp,u185b,Australasian Little Egret,5a,,5a,Non-taxonomic change - scientific name ,,
sp,191,Eastern Reef Egret,,,,,,
ssp,u191,Common Eastern Reef Egret,,,,,,
sp,u106,Australian Pelican,,,,,,
sp,95,Lesser Frigatebird,,,,,,
ssp,u95,Indo-Pacific Lesser Frigatebird,,,,,,
sp,94,Great Frigatebird,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u94,Indo-Pacific Great Frigatebird,3c,,3c,Subspecies split - indeterminate/unknown,,
sp,u909,Christmas Island Frigatebird,,,,,,
sp,u854,Abbott's Booby,,,,,,
sp,u104,Australasian Gannet,,,,,,
sp,103,Red-footed Booby,,,,,,
ssp,u103,Indo-Pacific Red-footed Booby,,,,,,
sp,102,Brown Booby,,,,,,
ssp,u102,Indo-Pacific Brown Booby,,,,,,
sp,105,Masked Booby,,,,,,
ssp,u105a,Indo-Pacific Masked Booby,,,,,,
ssp,u105b,Tasman Booby,,,,,,
sp,100,Little Pied Cormorant,,,,,,
ssp,u100,Australasian Little Pied Cormorant,,,,,,
sp,970,Imperial Shag,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u970a,Heard Island Imperial Shag,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u970b,Macquarie Island Imperial Shag,5a,,5a,Non-taxonomic change - scientific name ,,
sp,96,Great Cormorant,,,,,,
ssp,u96,Australasian Great Cormorant,5a,,5a,Non-taxonomic change - scientific name ,,
sp,u97,Little Black Cormorant,,,,,,
sp,u98,Black-faced Cormorant,,,,,,
sp,99,Great Pied Cormorant,5b,,5b,Non-taxonomic change - common name ,,
ssp,u99,Australian Great Pied Cormorant,5b,,5b,Non-taxonomic change - common name ,,
sp,101,Australasian Darter,,,,,,
ssp,u101,Australian Darter,,,,,,
sp,u174,Bush Stone-curlew,,,,,,
sp,u175,Beach Stone-curlew,,,,,,
sp,767,Black-faced Sheathbill,,,,,,
ssp,u767,Heard Island Black-faced Sheathbill,,,,,,
sp,u130,Australian Pied Oystercatcher,,,,,,
sp,131,Sooty Oystercatcher,,,,,,
